# BUILD-STAMP exe=/home/g/.cache/proplang-bench/bench-fold-depth size=4058736 mtime=2026-08-18 10:55:59.552668507 UTC ghc-Version {versionBranch = [9,10,3], versionTags = []} linux-x86_64
# BUILD-STAMP sha256=f6fb3722ccca2d2ce72a5c8762312e3f4b04419abea131d002110ab4efc67da9 HEAD=94fd4eb src-tree=5d869512f5d4d2a0176986363b03e6f3dd2f18c0 src-dirty=0
# cell=P1-T100000-s1-route2 profile=P1 ticks=100000 seed=1 route=2
# argv=--profile P1 --ticks 100000 --seed 1 --route 2 --out bench/results --budget-s 2700
# hello={"membrane": 1, "world": {"namespace": ["x", "act"], "guards": [{"name": "x", "grid": [0.5]}], "menu": [{"name": "act", "grid": [0, 1]}], "codebooks": {"theta": [0.25, 0.5, 0.75]}, "utility": {"form": "said@1", "said": ["*", ["get", "act"], ["-", ["+", ["var", 1], ["var", 1]], ["c", 1]]]}}}
# tick-mode=EvidenceAndMenu
# hello-reply={"ok": true, "proto": 1, "models": 9, "namespace_bits": 1.0}
# models=9
# route2 columns: tick,meta_bits_total,meta_bits_max,meta_n,latent_bits_total,latent_n,marginal_bits(num+den)
# mirror population=9
0,87,12,9,0,0,0
1,97,14,9,0,0,3
2,108,16,9,0,0,20
3,120,16,9,0,0,17
5,154,22,9,0,0,19
7,186,27,9,0,0,19
10,241,36,9,0,0,28
20,437,71,9,0,0,51
30,633,102,9,0,0,77
50,1029,164,9,0,0,120
70,1423,228,9,0,0,162
100,2017,321,9,0,0,226
101,2037,325,9,0,0,226
102,2055,328,9,0,0,236
104,2096,334,9,0,0,241
106,2135,341,9,0,0,233
109,2195,352,9,0,0,245
119,2393,383,9,0,0,270
129,2588,414,9,0,0,288
149,2984,481,9,0,0,343
169,3379,546,9,0,0,388
199,3973,647,9,0,0,478
200,3992,649,9,0,0,486
299,5948,955,9,0,0,698
300,5967,959,9,0,0,703
399,7923,1271,9,0,0,921
500,9918,1578,9,0,0,1135
599,11874,1894,9,0,0,1372
700,13869,2218,9,0,0,1622
799,15824,2532,9,0,0,1854
1000,19796,3166,9,0,0,2311
1099,21751,3476,9,0,0,2540
2000,39552,6351,9,0,0,4688
2099,41505,6666,9,0,0,4920
3000,59304,9571,9,0,0,7128
3099,61261,9879,9,0,0,7341
5000,98814,15979,9,0,0,11944
5099,100770,16305,9,0,0,12198
7000,138326,22407,9,0,0,16800
7099,140282,22719,9,0,0,17028
10000,197589,31956,9,0,0,23900
10099,199545,32263,9,0,0,24116
20000,395138,63834,9,0,0,47654
20099,397094,64139,9,0,0,47862
30000,592687,95691,9,0,0,71367
30099,594643,96011,9,0,0,71606
# TRUNCATED at tick 33392: wall budget 2700s exceeded (elapsed 2700.2s)
# summary ticks_done=33392 ticks_requested=100000 pins_checked=33392 total_wall_s=2700.202
